,methods,N,B,MAE,se,K_tuned
69,boosting,20,15000,0.00726333333333334,0.00016625301878505483,0.0
70,monte-carlo,20,15000,0.008293333333333323,0.0001672704433980123,0.0
71,KS,20,15000,0.025573333333333365,4.053916969839614e-05,0.0
72,LOCART,50,1000,0.016069999999999966,0.0006915603208442874,18.666666666666668
73,LOFOREST,50,1000,0.006609999999999997,0.0005804946056965537,18.666666666666668
74,tuned LOFOREST,50,1000,0.0061566666666666645,0.0004869918480655544,18.666666666666668
75,boosting,50,1000,0.015679999999999965,0.0006497162710920881,18.666666666666668
76,monte-carlo,50,1000,0.005706666666666663,0.0005477866064948489,18.666666666666668
77,KS,50,1000,0.019273333333333344,5.8809786145692244e-05,18.666666666666668
78,LOCART,50,5000,0.0052966666666666665,0.00020519702566451506,0.0
79,LOFOREST,50,5000,0.008946666666666655,0.00028435714516823795,0.0
80,tuned LOFOREST,50,5000,0.0052966666666666665,8.869299943145548e-05,0.0
81,boosting,50,5000,0.00855666666666665,0.0003070907487755676,0.0
82,monte-carlo,50,5000,0.010026666666666649,0.0003577640208995379,0.0
83,KS,50,5000,0.01940333333333334,5.5562995798081324e-05,0.0
84,LOCART,50,10000,0.006429999999999998,0.00013007611573526314,0.0
85,LOFOREST,50,10000,0.008713333333333328,0.00018325507308311942,0.0
86,tuned LOFOREST,50,10000,0.005703333333333332,8.86189976752795e-05,0.0
87,boosting,50,10000,0.007453333333333322,0.000201719551274176,0.0
88,monte-carlo,50,10000,0.009363333333333316,0.0001853255660509325,0.0
89,KS,50,10000,0.019040000000000012,5.1415214478161815e-05,0.0
90,LOCART,50,15000,0.00689666666666666,0.00010201110243780369,0.0
91,LOFOREST,50,15000,0.009246666666666644,0.00015006562213412485,0.0
92,tuned LOFOREST,50,15000,0.00689666666666666,9.609819223814913e-05,0.0
93,boosting,50,15000,0.008563333333333313,0.00017204060196441848,0.0
94,monte-carlo,50,15000,0.00950666666666665,0.00017063597332024196,0.0
95,KS,50,15000,0.01886000000000001,5.931817326091828e-05,0.0
96,LOCART,100,1000,0.013619999999999981,0.0006867558973546845,23.5
97,LOFOREST,100,1000,0.008623333333333328,0.0006947196918223621,23.5
98,tuned LOFOREST,100,1000,0.00629666666666666,0.0005923521586314911,23.5
99,boosting,100,1000,0.022166666666666654,0.001360596178332801,23.5
100,monte-carlo,100,1000,0.0068933333333333425,0.0005337285730705559,23.5
101,KS,100,1000,0.014510000000000006,6.424979864182008e-05,23.5
102,LOCART,100,5000,0.007193333333333309,0.0002620534736370945,0.0
103,LOFOREST,100,5000,0.009386666666666644,0.00022482116258046693,0.0
104,tuned LOFOREST,100,5000,0.007193333333333309,0.0001062386648516674,0.0
105,boosting,100,5000,0.009503333333333305,0.0002548102142134205,0.0
106,monte-carlo,100,5000,0.008246666666666643,0.0002924279665795657,0.0
107,KS,100,5000,0.01462000000000001,6.902973653976233e-05,0.0
108,LOCART,100,10000,0.005586666666666667,0.00011128082594149886,0.0
109,LOFOREST,100,10000,0.010679999999999992,0.0001627779168246146,0.0
110,tuned LOFOREST,100,10000,0.005586666666666667,8.425888237603912e-05,0.0
111,boosting,100,10000,0.010319999999999985,0.0002146825582646269,0.0
112,monte-carlo,100,10000,0.010593333333333307,0.00021881925570357478,0.0
113,KS,100,10000,0.014953333333333353,5.916880017019316e-05,0.0
114,LOCART,100,15000,0.0058033333333333305,6.12068643774009e-05,0.0
115,LOFOREST,100,15000,0.008913333333333334,0.00013742680655714053,0.0
116,tuned LOFOREST,100,15000,0.0058033333333333305,6.12068643774009e-05,0.0
117,boosting,100,15000,0.006776666666666662,0.00016418734281026194,0.0
118,monte-carlo,100,15000,0.009993333333333312,0.00015700229874336072,0.0
119,KS,100,15000,0.014693333333333341,6.92990299755749e-05,0.0
